"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
77,201,"SEN","Senegal",9,"Matam",29,"Ranérou Ferlo",74,"Velingara",1132010,"1132010","Arrondissment","Arrondissement","",""
78,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",75,"Boghal",1422010,"1422010","Arrondissment","Arrondissement","",""
79,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",76,"Bona",1422020,"1422020","Arrondissment","Arrondissement","",""
80,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",77,"Diaroume",1422030,"1422030","Arrondissment","Arrondissement","",""
81,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",78,"Djibanar",1432010,"1432010","Arrondissment","Arrondissement","",""
82,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",79,"Karantaba",1432020,"1432020","Arrondissment","Arrondissement","",""
83,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",80,"Simbandi Brassou",1432030,"1432030","Arrondissment","Arrondissement","",""
84,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",81,"Diende",1412010,"1412010","Arrondissment","Arrondissement","",""
85,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",82,"Djibabouya",1412020,"1412020","Arrondissment","Arrondissement","",""
86,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",83,"Djiredji",1412030,"1412030","Arrondissment","Arrondissement","",""
87,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana",84,"Mbane",412010,"412010","Arrondissment","Arrondissement","",""
88,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana",85,"Ndiaye Mberess",412020,"412020","Arrondissment","Arrondissement","",""
89,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",86,"Cas Cas",422010,"422010","Arrondissment","Arrondissement","",""
90,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",87,"Gamadji Sarre",422040,"422040","Arrondissment","Arrondissement","",""
91,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",88,"Salde",422020,"422020","Arrondissment","Arrondissement","",""
92,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",89,"Thile Boubacar",422030,"422030","Arrondissment","Arrondissement","",""
93,201,"SEN","Senegal",11,"Saint-Louis",35,"Saint-Louis",90,"Rao",432010,"432010","Arrondissment","Arrondissement","",""
94,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",91,"Bele",512020,"512020","Arrondissment","Arrondissement","",""
95,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",92,"Kenieba",512010,"512010","Arrondissment","Arrondissement","",""
96,201,"SEN","Senegal",12,"Tambacounda",36,"Bakel",93,"Moudery",512030,"512030","Arrondissment","Arrondissement","",""
97,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",94,"Bala",532010,"532010","Arrondissment","Arrondissement","",""
98,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",95,"Boynguel Bamba",532020,"532020","Arrondissment","Arrondissement","",""
99,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",96,"Dianke Makha",532030,"532030","Arrondissment","Arrondissement","",""
100,201,"SEN","Senegal",12,"Tambacounda",37,"Goudiry",97,"Koulor",532040,"532040","Arrondissment","Arrondissement","",""
101,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum",98,"Bamba Ndiayene",542010,"542010","Arrondissment","Arrondissement","",""
102,201,"SEN","Senegal",12,"Tambacounda",38,"Koupentoum",99,"Kouthiaba Ouolof",542020,"542020","Arrondissment","Arrondissement","",""
