"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
63,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",63,"Taiba Moutoupha","",322010,"3220105","Commune","Commune"
64,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",64,"Touba Lappe","",322010,"3220106","Commune","Commune"
65,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",65,"Ndoulo","",322020,"3220201","Commune","Commune"
66,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",66,"Ngohe","",322020,"3220202","Commune","Commune"
67,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",67,"Patar","",322020,"3220203","Commune","Commune"
68,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",68,"Tocky Gare","",322020,"3220204","Commune","Commune"
69,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",15,"Ndoulo",69,"Toure Mbonde","",322020,"3220205","Commune","Commune"
70,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",70,"Darou Nahim","",332010,"3320107","Commune","Commune"
71,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",71,"Darou Salam Typ","",332010,"3320102","Commune","Commune"
72,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",72,"Dendeye Gouye Gui","",332010,"3320101","Commune","Commune"
73,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",73,"Kael","",332010,"3320103","Commune","Commune"
74,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",74,"Madina","",332010,"3320104","Commune","Commune"
75,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",75,"Ndioumane Taiba Thiekene","",332010,"3320105","Commune","Commune"
76,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",76,"Taiba Thieckene","",332010,"3320108","Commune","Commune"
77,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",16,"Kael",77,"Touba Mboul","",332010,"3320106","Commune","Commune"
78,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",78,"Dalla Ngabou","",332020,"3320201","Commune","Commune"
79,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",79,"Missirah","",332020,"3320202","Commune","Commune"
80,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",80,"Nghaye","",332020,"3320203","Commune","Commune"
81,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",81,"Touba Fall","",332020,"3320204","Commune","Commune"
82,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",17,"Ndame",82,"Touba Mosquee","",332020,"3320205","Commune","Commune"
83,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",18,"Taif",83,"Sadio","",332030,"3320301","Commune","Commune"
84,201,"SEN","Senegal",2,"Diourbel",7,"Mbacké",18,"Taif",84,"Taif","",332030,"3320302","Commune","Commune"
85,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",85,"Djilasse","",912020,"9120204","Commune","Commune"
86,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",86,"Fimela","",912020,"9120201","Commune","Commune"
87,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",87,"Loul Sessene","",912020,"9120202","Commune","Commune"
88,201,"SEN","Senegal",3,"Fatick",8,"Fatick",19,"Fimela",88,"Palmarin Facao","",912020,"9120203","Commune","Commune"
89,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",89,"Diaoule","",912010,"9120101","Commune","Commune"
90,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",90,"Mbelacadio","",912010,"9120102","Commune","Commune"
91,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",91,"Ndiob","",912010,"9120103","Commune","Commune"
92,201,"SEN","Senegal",3,"Fatick",8,"Fatick",20,"Ndiob",92,"Thiare Ndialgui","",912010,"9120104","Commune","Commune"
93,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",93,"Ngayokheme","",912030,"9120301","Commune","Commune"
94,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",94,"Niakhar","",912030,"9120302","Commune","Commune"
95,201,"SEN","Senegal",3,"Fatick",8,"Fatick",21,"Niakhar",95,"Patar","",912030,"9120303","Commune","Commune"
96,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",96,"Diarrere","",912040,"9120401","Commune","Commune"
97,201,"SEN","Senegal",3,"Fatick",8,"Fatick",22,"Tattaguine",97,"Diouroup","",912040,"9120402","Commune","Commune"
