index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
847;26159.0;8.0;2021.0;15.0;299.285888672;298.993103027;299.713409424;299.23223877;299.383270264;299.172088623;299.275299072;299.14553833;299.106994629;300.220428467;300.69342041;299.251831055;299.133636475;299.23223877;26.0938816071;26.0322780609;25.9150009155;26.0423049927
848;26190.0;9.0;2021.0;15.0;299.870330811;299.899871826;300.306274414;300.010986328;300.066650391;299.860595703;300.038787842;299.738555908;299.912017822;300.490600586;301.27166748;300.088104248;299.92074585;300.010986328;26.680847168;26.7307300568;26.6894855499;26.8038253784
849;26220.0;10.0;2021.0;15.0;301.390899658;301.017303467;301.885650635;300.931030273;300.920623779;300.728820801;300.965789795;300.957397461;300.937103271;302.398681641;303.473480225;301.012634277;300.887084961;300.931030273;28.1118850708;28.1083278656;27.8352928162;27.7455425262
850;26251.0;11.0;2021.0;15.0;302.983398438;303.055664062;303.463867188;302.36239624;302.326080322;302.430847168;302.301391602;302.885162354;302.669494629;304.306549072;304.33770752;302.193786621;302.737091064;302.36239624;29.8034038544;29.8589687347;29.7962417603;29.3806800842
851;26281.0;12.0;2021.0;15.0;300.374847412;301.932800293;300.834747314;301.930938721;301.731292725;301.697998047;301.950134277;300.870880127;301.876190186;300.802642822;299.9894104;302.118438721;302.03427124;301.930938721;27.3710441589;27.7764949799;28.3670310974;28.7522106171
852;26312.0;1.0;2022.0;15.0;302.613372803;304.257781982;302.779785156;303.257476807;303.11895752;303.593261719;303.20425415;302.981903076;303.865966797;302.468536377;301.73336792;302.688232422;304.125640869;303.257476807;29.5721511841;30.0457305908;30.5713253021;30.5145072937
853;26343.0;2.0;2022.0;15.0;303.877685547;305.446563721;304.048553467;303.621459961;303.714141846;304.245544434;303.599700928;304.26473999;304.46875;303.881225586;303.381164551;303.188995361;304.796020508;303.621459961;30.8421382904;31.2834758759;31.7302722931;31.0866832733
854;26371.0;3.0;2022.0;15.0;304.036773682;304.116638184;303.936950684;303.012176514;303.027587891;303.165008545;303.032440186;303.861785889;303.307098389;304.109680176;304.099395752;302.931365967;303.44821167;303.012176514;30.8349304199;30.9151878357;30.7774505615;30.078130722
855;26402.0;4.0;2022.0;15.0;304.264862061;302.558044434;304.476715088;302.243530273;302.312713623;302.100463867;302.221008301;303.346069336;302.336639404;305.522766113;306.843902588;302.356628418;302.21572876;302.243530273;30.8421096802;30.5100669861;29.686750412;29.0854873657
856;26432.0;5.0;2022.0;15.0;303.475128174;302.661773682;303.912139893;302.040313721;302.120483398;302.10144043;302.089019775;302.847686768;302.360412598;304.682983398;305.953552246;302.069091797;302.434814453;302.040313721;30.1384983063;30.0367183685;29.5484809875;29.097902298
857;26463.0;6.0;2022.0;15.0;300.610046387;300.076843262;301.155609131;300.065673828;300.085968018;299.854248047;300.101409912;299.809875488;299.936187744;301.666442871;303.199279785;300.329864502;300.002319336;300.065673828;27.2222995758;27.2709140778;26.80717659;26.8494338989
858;26493.0;7.0;2022.0;15.0;301.077606201;300.388000488;300.724395752;299.594482422;299.80859375;299.847595215;299.669464111;300.66293335;299.707519531;300.565734863;301.297698975;299.444580078;300.057098389;299.594482422;27.805147171;27.6838512421;27.2682151794;26.677362442
859;26524.0;8.0;2022.0;15.0;300.251495361;299.553985596;299.984741211;299.060455322;299.281005859;299.276702881;299.116516113;299.973114014;299.036407471;299.819946289;300.600219727;299.011749268;299.322143555;299.060455322;27.0195064545;26.8551006317;26.5088787079;26.0476074219
860;26555.0;9.0;2022.0;15.0;300.605987549;300.320648193;300.676757812;299.988128662;300.127929688;300.036407471;300.026672363;300.451080322;299.93447876;300.626678467;301.482940674;300.026733398;300.100982666;299.988128662;27.4100990295;27.3552093506;27.1786975861;26.8896865845
861;26585.0;10.0;2022.0;15.0;302.278289795;301.437805176;302.511505127;301.076965332;301.115600586;301.021179199;301.110778809;301.846954346;301.116790771;302.971160889;304.143859863;301.113372803;301.191040039;301.076965332;29.0001792908;28.8306617737;28.4100227356;27.9714069366
862;26616.0;11.0;2022.0;15.0;302.467803955;301.548217773;302.581268311;301.524963379;301.513549805;301.324432373;301.473937988;301.753112793;301.460601807;303.199645996;303.854064941;301.659362793;301.426086426;301.524963379;29.1057872772;28.9924278259;28.4675178528;28.2936134338
863;26646.0;12.0;2022.0;15.0;301.132049561;301.868499756;301.148651123;301.679534912;301.694519043;301.620910645;301.685241699;301.309967041;301.652374268;301.174133301;300.297393799;301.934112549;301.856018066;301.679534912;28.0346317291;28.2432365417;28.4791278839;28.5720691681
864;26677.0;1.0;2023.0;15.0;303.102020264;304.410736084;303.11428833;303.648071289;303.614837646;304.126831055;303.649261475;303.338256836;304.234802246;302.796234131;301.943145752;302.942138672;304.546356201;303.648071289;30.021938324;30.415769577;30.8271541595;30.9510974884
865;26708.0;2.0;2023.0;15.0;303.527709961;304.441802979;303.516571045;303.696258545;303.65447998;303.805969238;303.734588623;303.625061035;303.999359131;303.211456299;302.934051514;303.6953125;304.181518555;303.696258545;30.4065704346;30.7013301849;30.9272232056;30.7715549469
866;26736.0;3.0;2023.0;15.0;304.028656006;303.97946167;304.037719727;303.648376465;303.569152832;303.611907959;303.639648438;303.746002197;303.82144165;304.095275879;304.368652344;303.571716309;303.798309326;303.648376465;30.7949886322;30.8612327576;30.7220306396;30.5627880096
867;26767.0;4.0;2023.0;15.0;305.577758789;304.020202637;305.956970215;303.346496582;303.515716553;303.56842041;303.383789062;304.733825684;303.577911377;307.076507568;308.590545654;303.084106445;303.688140869;303.346496582;32.1770210266;31.8761119843;31.0951633453;30.4000301361
868;26797.0;5.0;2023.0;15.0;303.229431152;302.293701172;303.583190918;301.773193359;301.873138428;301.761047363;301.827514648;302.158233643;301.83605957;304.202178955;305.871337891;301.924957275;301.985229492;301.773193359;29.7615127563;29.7481174469;29.0392665863;28.7175598145
869;26828.0;6.0;2023.0;15.0;301.360443115;301.469482422;301.797943115;300.89251709;301.083404541;301.035461426;301.012512207;300.703063965;300.972930908;301.840362549;303.308837891;301.018951416;301.260803223;300.89251709;28.0153980255;28.2490310669;27.9672241211;27.9307441711
