index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou;Oueme;Borgou+Donga;Borgou+Collines+Donga+Donga;Collines+Donga+Plateau;Atlantique+Kouffo+Littoral+Mono+Oueme+Plateau+Zou
1459;44787.0;8.0;2072.0;15.0;299.972015381;299.516937256;300.218292236;299.516662598;299.660400391;299.398864746;299.538330078;299.438201904;299.510925293;300.58605957;301.342132568;299.562805176;299.517608643;299.516662598;26.6632671356;26.6605148315;26.3347263336;26.3677120209
1460;44818.0;9.0;2072.0;15.0;299.770721436;299.522949219;300.156066895;300.02154541;300.053955078;299.763366699;300.051361084;299.161956787;299.831268311;300.296630859;301.361602783;300.230926514;299.802490234;300.02154541;26.439874649;26.5329437256;26.2680931091;26.740442276
1461;44848.0;10.0;2072.0;15.0;301.433746338;301.115814209;301.747375488;301.278625488;301.297485352;301.099822998;301.328887939;300.594421387;301.263305664;301.714141846;303.247253418;301.300231934;301.222290039;301.278625488;28.0347919464;28.1706809998;27.78125;28.0946216583
1462;44879.0;11.0;2072.0;15.0;302.088104248;302.435089111;302.361114502;302.743896484;302.628173828;302.570770264;302.722930908;301.717132568;302.821807861;302.344726562;302.65145874;302.424957275;302.710021973;302.743896484;28.8279628754;29.0607700348;29.0517749786;29.5592899323
1463;44909.0;12.0;2072.0;15.0;301.459869385;302.513946533;301.907867432;303.046325684;302.807952881;302.674133301;302.991577148;301.480163574;302.929412842;301.896728516;301.565917969;303.11026001;302.894836426;303.046325684;28.3151054382;28.682849884;29.0112304688;29.7417888641
1464;44940.0;1.0;2073.0;15.0;300.90914917;302.351715088;301.157806396;302.262969971;302.157226562;302.127044678;302.234313965;301.239318848;302.324951172;300.750549316;300.281585693;302.622314453;302.501495361;302.262969971;27.8566322327;28.2698669434;28.7692985535;29.1634273529
1465;44971.0;2.0;2073.0;15.0;301.824249268;302.924224854;302.077545166;303.11618042;302.948059082;302.741821289;303.082550049;301.811859131;303.129333496;301.619598389;301.741485596;303.238922119;302.966186523;303.11618042;28.6702327728;29.0630187988;29.3678150177;29.8482227325
1466;44999.0;3.0;2073.0;15.0;305.686889648;304.971191406;305.71484375;304.269775391;304.140167236;304.270751953;304.196777344;305.230529785;304.626464844;306.129638672;306.897033691;303.800720215;304.525421143;304.269775391;32.4013824463;32.2831497192;31.8825073242;31.2405319214
1467;45030.0;4.0;2073.0;15.0;305.457397461;303.715087891;305.546173096;302.782684326;302.79196167;302.763397217;302.758117676;304.58505249;302.934051514;306.566009521;307.969848633;302.936737061;303.044250488;302.782684326;32.0484008789;31.6902770996;30.8124866486;29.7347660065
1468;45060.0;5.0;2073.0;15.0;303.200958252;302.628448486;303.672851562;302.537109375;302.608276367;302.454559326;302.588012695;302.4425354;302.598236084;303.74206543;305.888427734;302.611053467;302.64944458;302.537109375;29.8256282806;29.8476581573;29.402961731;29.4379024506
1469;45091.0;6.0;2073.0;15.0;302.938018799;302.682983398;303.298126221;302.467803955;302.570709229;302.563537598;302.532287598;302.359558105;302.578491211;303.298858643;304.854614258;302.166687012;302.689971924;302.467803955;29.6161994934;29.6973209381;29.3962440491;29.442199707
1470;45121.0;7.0;2073.0;15.0;300.78112793;300.506622314;300.94241333;300.447845459;300.561187744;300.450256348;300.492828369;300.328613281;300.451385498;300.866638184;301.948272705;300.346038818;300.568664551;300.447845459;27.4968109131;27.5336437225;27.2817802429;27.3550281525
1471;45152.0;8.0;2073.0;15.0;301.077728271;300.297821045;301.203277588;300.41003418;300.650909424;300.456207275;300.496002197;300.459472656;300.214385986;301.548461914;302.391326904;300.431518555;300.317138672;300.41003418;27.7441806793;27.6514701843;27.2009468079;27.2397098541
1472;45183.0;9.0;2073.0;15.0;301.106994629;300.781280518;301.291442871;301.117614746;301.168273926;300.936737061;301.155548096;300.54776001;301.008178711;301.387878418;302.16027832;301.213653564;300.923522949;301.117614746;27.7905864716;27.841091156;27.566991806;27.8739643097
1473;45213.0;10.0;2073.0;15.0;302.26663208;301.856994629;302.453399658;301.614135742;301.839080811;301.769348145;301.681976318;301.855560303;301.74911499;302.781280518;303.406860352;301.594177246;301.80758667;301.614135742;28.9943714142;28.9714298248;28.6942939758;28.605884552
1474;45244.0;11.0;2073.0;15.0;302.770751953;303.247833252;303.164245605;303.82598877;303.779418945;303.755737305;303.801757812;302.483520508;303.983856201;303.264190674;303.272064209;303.274963379;303.839691162;303.82598877;29.5352783203;29.7894229889;29.8858203888;30.6925315857
1475;45274.0;12.0;2073.0;15.0;303.409606934;304.640686035;303.75692749;305.049804688;304.838897705;304.923553467;305.032073975;303.53894043;305.183288574;303.684417725;302.918029785;304.44708252;305.146942139;305.049804688;30.2972640991;30.6951999664;31.1265544891;31.9140396118
1476;45305.0;1.0;2074.0;15.0;302.39251709;303.628356934;302.440551758;303.262451172;303.25668335;303.379699707;303.278900146;302.552581787;303.555023193;302.13571167;301.349822998;303.253601074;303.769073486;303.262451172;29.2897052765;29.6799850464;30.0547828674;30.3431854248
1477;45336.0;2.0;2074.0;15.0;302.813781738;303.682281494;303.010253906;304.020324707;303.812347412;303.570007324;303.95803833;302.647705078;303.955657959;302.876373291;302.564453125;304.103240967;303.736419678;304.020324707;29.6140880585;29.9705505371;30.1636886597;30.6766262054
1478;45364.0;3.0;2074.0;15.0;305.847259521;305.082672119;305.770477295;304.783508301;304.565155029;304.426696777;304.721588135;305.245361328;304.822784424;306.339263916;306.572937012;304.720428467;304.605712891;304.783508301;32.5186042786;32.4261016846;31.9661827087;31.5033531189
1479;45395.0;4.0;2074.0;15.0;307.090179443;306.384857178;307.349273682;306.072021484;306.025024414;306.311645508;306.084564209;306.442138672;306.597381592;308.023925781;308.665924072;304.953033447;306.450256348;306.072021484;33.7475776672;33.6898765564;33.2802734375;33.1713600159
1480;45425.0;5.0;2074.0;15.0;305.718017578;304.711486816;306.339813232;304.57043457;304.57723999;304.697540283;304.571105957;304.701416016;304.881713867;307.127166748;308.974090576;303.827148438;304.834228516;304.57043457;32.2658996582;32.2111473083;31.5759124756;31.58045578
1481;45456.0;6.0;2074.0;15.0;304.406890869;303.603027344;304.726501465;303.40914917;303.476531982;303.490356445;303.42956543;303.600280762;303.620574951;305.021606445;306.690307617;302.832092285;303.60244751;303.40914917;31.0175075531;30.9718894958;30.4538288116;30.3810501099
1482;45486.0;7.0;2074.0;15.0;302.488647461;301.840667725;302.797149658;301.395080566;301.515960693;301.55581665;301.457672119;301.841461182;301.604614258;303.133331299;304.548034668;301.073059082;301.798065186;301.395080566;29.146402359;29.1089782715;28.6639938354;28.4546718597
1483;45517.0;8.0;2074.0;15.0;300.814605713;300.289611816;300.932403564;300.432952881;300.583526611;300.395843506;300.506164551;300.301361084;300.347167969;301.016998291;301.920043945;300.556915283;300.436737061;300.432952881;27.5122337341;27.4783191681;27.1506519318;27.2909545898
1484;45548.0;9.0;2074.0;15.0;301.781646729;301.007232666;301.917175293;301.160247803;301.14453125;300.919372559;301.165496826;301.154998779;301.088287354;302.181518555;303.215332031;301.262878418;301.022216797;301.160247803;28.4454536438;28.3570175171;27.9235725403;27.9199466705
1485;45578.0;10.0;2074.0;15.0;302.862945557;302.476318359;303.041229248;302.429138184;302.367340088;302.197937012;302.446289062;302.277984619;302.552734375;303.237548828;304.116241455;302.3855896;302.359558105;302.429138184;29.5393867493;29.5757369995;29.2582645416;29.2463245392
1486;45609.0;11.0;2074.0;15.0;302.717712402;303.344604492;302.982940674;303.397705078;303.424346924;303.402984619;303.414978027;302.404876709;303.666229248;302.754302979;303.125030518;303.225891113;303.604705811;303.397705078;29.4748249054;29.7893257141;29.868013382;30.3695087433
1487;45639.0;12.0;2074.0;15.0;301.360717773;302.405578613;301.709564209;303.082824707;302.89932251;302.754241943;303.051086426;301.27923584;302.938781738;301.585205078;301.155090332;303.047637939;302.907989502;303.082824707;28.1862049103;28.5806884766;28.8809261322;29.781665802
1488;45670.0;1.0;2075.0;15.0;301.150939941;302.147644043;301.210113525;302.017456055;301.860626221;301.86529541;302.001373291;301.203521729;302.077789307;300.992614746;300.375244141;302.326629639;302.24520874;302.017456055;28.0165538788;28.3540840149;28.6254367828;28.9093742371
1489;45701.0;2.0;2075.0;15.0;302.832946777;303.407745361;302.863983154;303.081176758;302.93460083;303.106048584;303.050842285;302.502685547;303.534423828;302.7159729;302.621582031;302.615142822;303.437988281;303.081176758;29.5850849152;29.8860931396;29.9222831726;30.1122550964
1490;45729.0;3.0;2075.0;15.0;306.331085205;305.516876221;306.262908936;303.994598389;304.110107422;304.533325195;303.992492676;305.546813965;304.778594971;306.678314209;307.733886719;303.364440918;304.921142578;303.994598389;32.9488372803;32.8928718567;32.2951049805;31.3654251099
1491;45760.0;4.0;2075.0;15.0;307.663299561;305.431365967;307.708892822;304.144195557;304.216491699;304.483459473;304.110961914;306.356781006;304.645507812;308.846466064;310.799102783;303.382049561;304.724975586;304.144195557;34.1260414124;33.723323822;32.5499382019;31.3167228699
1492;45790.0;5.0;2075.0;15.0;303.961334229;302.542205811;304.222076416;302.389801025;302.373901367;302.260650635;302.349243164;302.962860107;302.463287354;304.855926514;306.64440918;302.182769775;302.356842041;302.389801025;30.51521492;30.3085632324;29.5457382202;29.2166347504
1493;45821.0;6.0;2075.0;15.0;303.320953369;302.622406006;303.819122314;302.105865479;302.341247559;302.455444336;302.15927124;302.714202881;302.485168457;304.250488281;306.023529053;301.552642822;302.57144165;302.105865479;29.9906368256;29.9232845306;29.4918384552;29.2532234192
1494;45851.0;7.0;2075.0;15.0;301.85458374;301.22769165;302.065429688;300.96081543;301.228790283;301.167602539;301.017425537;301.260986328;301.092498779;302.201049805;303.577667236;300.693878174;301.229431152;300.96081543;28.52850914;28.4823036194;28.0753002167;27.9841079712
1495;45882.0;8.0;2075.0;15.0;300.661346436;300.490814209;300.891326904;300.265441895;300.434204102;300.378540039;300.321685791;300.253356934;300.288909912;301.130584717;301.750793457;300.201293945;300.468566895;300.265441895;27.3900527954;27.4510669708;27.2263374329;27.2246131897
1496;45913.0;9.0;2075.0;15.0;300.562164307;300.295074463;300.718414307;300.287445068;300.376220703;300.153686523;300.352874756;300.05355835;300.346801758;300.829345703;301.551055908;300.456878662;300.374267578;300.287445068;27.261100769;27.3175201416;27.0569725037;27.1777534485
1497;45943.0;10.0;2075.0;15.0;302.858978271;301.852539062;302.863494873;301.757659912;301.681304932;301.524902344;301.770782471;302.027801514;301.849578857;303.318572998;304.146209717;301.71685791;301.769012451;301.757659912;29.4624767303;29.352596283;28.7700824738;28.5910434723
1498;45974.0;11.0;2075.0;15.0;302.340820312;303.45602417;302.833648682;304.469116211;304.274139404;304.259643555;304.427429199;302.227874756;304.626983643;302.490142822;302.484710693;303.778900146;304.365386963;304.469116211;29.1570854187;29.585269928;29.9641342163;31.2627925873
1499;46004.0;12.0;2075.0;15.0;301.158874512;302.32913208;301.544006348;302.964233398;302.742584229;302.579925537;302.935882568;301.165679932;302.791870117;301.41394043;300.937835693;303.172851562;302.806427002;302.964233398;28.0103397369;28.4231090546;28.7820968628;29.6517925262
1500;46035.0;1.0;2076.0;15.0;302.109619141;303.100799561;302.266998291;303.683441162;303.338378906;303.195007324;303.591522217;302.183074951;303.546875;302.065948486;301.377929688;303.777404785;303.454071045;303.683441162;28.9811725616;29.3105449677;29.6472244263;30.3184299469
1501;46066.0;2.0;2076.0;15.0;303.722381592;304.247711182;303.864501953;304.357330322;304.027587891;303.889190674;304.253723145;303.449157715;304.382232666;303.850189209;303.778808594;304.325958252;304.160827637;304.357330322;30.4910163879;30.7578849792;30.8047161102;31.0353813171
1502;46095.0;3.0;2076.0;15.0;306.02947998;305.109893799;305.841918945;304.83505249;304.647705078;304.648925781;304.754669189;305.252929688;305.072631836;306.268920898;306.636810303;304.568634033;304.861114502;304.83505249;32.6494560242;32.5537567139;32.0109901428;31.6794433594
1503;46126.0;4.0;2076.0;15.0;306.669677734;304.436187744;306.591308594;303.527160645;303.623657227;303.700744629;303.473602295;305.510498047;303.835998535;307.947357178;308.945343018;303.279449463;303.88583374;303.527160645;33.1759223938;32.7293205261;31.6331710815;30.5699768066
1504;46156.0;5.0;2076.0;15.0;304.60949707;303.173461914;304.84854126;303.082366943;303.095794678;302.947662354;303.059112549;303.500640869;303.158569336;305.474578857;307.238586426;302.970275879;303.056060791;303.082366943;31.1306037903;30.9507751465;30.1480236053;29.9170570374
1505;46187.0;6.0;2076.0;15.0;302.05078125;301.449157715;302.356201172;301.25958252;301.368377686;301.239990234;301.357452393;301.246643066;301.244018555;302.360168457;304.293151855;301.345092773;301.400085449;301.25958252;28.6623420715;28.6876163483;28.1979598999;28.1748371124
1506;46217.0;7.0;2076.0;15.0;300.352294922;299.737640381;300.610626221;300.032928467;300.197479248;300.02722168;300.11529541;299.648895264;299.973999023;300.708831787;302.033447266;300.045806885;300.055236816;300.032928467;26.9937839508;26.9842433929;26.5796051025;26.9091701508
1507;46248.0;8.0;2076.0;15.0;299.247558594;298.81451416;299.528808594;299.485321045;299.599975586;299.248138428;299.527435303;298.692016602;299.235717773;299.747924805;300.506378174;299.708679199;299.148223877;299.485321045;25.9326076508;25.9441833496;25.6642780304;26.1700305939
1508;46279.0;9.0;2076.0;15.0;300.658416748;299.866577148;300.892669678;300.093902588;300.198791504;299.960479736;300.141052246;299.953857422;299.934570312;301.27243042;302.343719482;300.289855957;299.952453613;300.093902588;27.2992153168;27.2282428741;26.7577819824;26.8701629639
1509;46309.0;10.0;2076.0;15.0;302.708374023;301.738525391;302.944366455;301.781066895;301.866149902;301.674865723;301.809448242;301.986083984;301.792602539;303.599731445;304.493896484;301.76171875;301.689178467;301.781066895;29.3438663483;29.2150287628;28.6903572083;28.6039600372
1510;46340.0;11.0;2076.0;15.0;302.462432861;303.234466553;302.998046875;303.995300293;303.892028809;303.798370361;303.961517334;302.235412598;304.08190918;302.728424072;303.330718994;303.512420654;303.865570068;303.995300293;29.2446975708;29.585319519;29.7946338654;30.7791290283
1511;46370.0;12.0;2076.0;15.0;302.803741455;303.682617188;303.184356689;304.233764648;304.014190674;304.028533936;304.209686279;302.63369751;304.245391846;302.959197998;303.066925049;303.768341064;304.199768066;304.233764648;29.6028060913;29.9646549225;30.1913204193;31.0211353302
1512;46401.0;1.0;2077.0;15.0;301.83001709;302.897735596;301.966186523;303.270568848;303.046875;303.014770508;303.22253418;301.897705078;303.249145508;301.444366455;301.241729736;303.162475586;303.245239258;303.270568848;28.7000179291;29.0579490662;29.4017963409;30.0428104401
1513;46432.0;2.0;2077.0;15.0;302.893432617;303.360595703;302.971923828;303.282440186;303.052581787;303.071533203;303.182678223;302.667816162;303.524414062;302.710174561;302.992736816;302.913452148;303.317657471;303.282440186;29.6763801575;29.9082145691;29.9617424011;30.1202583313
