index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
32;12218;6;1983;15;149.964092216;167.094226169;92.2434534302;216.413497026;295.740066287;238.918815764;315.038761975;453.825181785;161.610784873;68.0716172112;297.238171918;217.080220728;380.383259199;110.48496662;140.008269799;149.964096069;315.038757324;68.0716171265;149.964096069;315.038757324;68.0716171265
33;12584;6;1984;15;107.484088999;185.319159781;123.721702329;119.20522397;55.1175384124;126.800349348;123.665029212;66.1987100707;170.518282966;128.68288646;189.655942967;142.873424172;152.366128496;244.149259229;103.070516521;107.484085083;123.665031433;128.682891846;107.484085083;123.665031433;128.682891846
34;12949;6;1985;15;101.867233384;124.101555034;147.400408474;252.593144283;212.565132574;149.37047378;256.551144368;181.782818104;181.624903535;159.537115218;118.736171406;149.560430222;217.115143963;87.1775526543;133.292477431;101.867233276;256.551147461;159.537109375;101.867233276;256.551147461;159.537109375
35;13314;6;1986;15;168.682710805;42.3095949296;211.566351796;79.5067929624;33.0443777047;74.4348183036;67.842036193;39.9708440936;44.2780062509;204.328819858;51.297125129;96.0489311551;56.5569476165;111.429442407;130.390215395;168.68270874;67.8420333862;204.328811646;168.68270874;67.8420333862;204.328811646
36;13679;6;1987;15;300.700891945;172.273309352;145.281889033;146.971113809;121.813120297;150.745536778;163.381092623;153.590243687;157.203736935;134.105514739;165.235600986;157.068657136;139.613439218;126.772806097;396.714204904;300.700897217;163.381088257;134.105514526;300.700897217;163.381088257;134.105514526
37;14045;6;1988;15;260.629493984;112.401611253;328.267785952;66.3567372856;78.3781866792;185.232378344;132.53376726;170.800748402;56.5820169394;203.783457273;112.233751057;207.45776238;69.0801116684;353.87291367;182.206064307;260.629486084;132.5337677;203.783462524;260.629486084;132.5337677;203.783462524
38;14410;6;1989;15;148.736731612;157.491328211;147.73842507;168.580007208;172.925474152;339.096251877;194.407914186;305.626987398;159.691468684;254.653142184;244.840838476;236.113480601;186.562529361;237.658967431;183.291960029;148.736724854;194.407913208;254.653137207;148.736724854;194.407913208;254.653137207
39;14775;6;1990;15;217.128104621;58.435294263;232.359894982;75.7077628685;13.2730641609;61.2351159743;45.4494510498;21.8872309163;56.2293407342;267.755322847;88.9919915332;107.182656832;44.3157394599;135.431332299;171.072864224;217.128097534;45.4494514465;267.755310059;217.128097534;45.4494514465;267.755310059
40;15140;6;1991;15;153.590267256;150.234133462;211.327260121;278.708023105;110.826444515;155.988666632;240.231387518;152.257597354;208.581184854;143.396340659;160.533988534;173.456260793;176.772402337;217.064729345;175.959893765;153.590270996;240.231384277;143.396347046;153.590270996;240.231384277;143.396347046
41;15506;6;1992;15;172.086966387;286.221081543;109.629232924;317.162485982;176.729868949;123.179688504;264.480311047;175.678730075;327.676296344;114.733042657;162.979533842;152.378457204;195.759279341;82.8047518882;258.427421021;172.086975098;264.480316162;114.733039856;172.086975098;264.480316162;114.733039856
42;15871;6;1993;15;93.9951254008;180.396207563;99.0215894595;141.143252177;95.1377097333;84.3368494307;145.884646626;96.9295789882;188.995985497;303.515826709;126.615298762;155.66357601;123.896420459;239.102730352;174.368674517;93.9951248169;145.884643555;303.515838623;93.9951248169;145.884643555;303.515838623
43;16236;6;1994;15;251.573232161;73.5667314845;210.534888433;62.6959454667;8.68152899397;30.1838420051;53.4024535678;13.0802197924;83.6090640812;125.158218004;55.8117236916;83.5149414633;33.070153372;102.06231994;238.681315694;251.573226929;53.4024543762;125.158218384;251.573226929;53.4024543762;125.158218384
44;16601;6;1995;15;275.521755457;155.27770314;211.229412998;208.135137128;68.7546955872;203.754206608;164.97341718;73.061014834;213.935115295;125.897983893;84.0334103034;142.723203139;92.5871579594;117.466689361;311.569862373;275.521759033;164.973419189;125.897987366;275.521759033;164.973419189;125.897987366
45;16967;6;1996;15;68.1748860953;44.433272733;84.3288762159;14.0691010572;26.2312928861;51.3064722869;22.088320573;42.6155394804;46.2474010359;221.314682259;74.6565732162;68.6303346813;26.7407294552;68.8593951297;54.1981223067;68.1748886108;22.0883197784;221.314682007;68.1748886108;22.0883197784;221.314682007
46;17332;6;1997;15;248.440183523;398.499917286;179.936021899;241.198166471;34.5187827575;89.5981724658;172.858680945;87.8326786623;297.477776146;162.702634444;358.814497504;169.935884575;169.094776603;191.513210467;349.06400887;248.440185547;172.858673096;162.702636719;248.440185547;172.858673096;162.702636719
47;17697;6;1998;15;211.264671029;118.490897561;163.165754127;71.755597785;52.8258210934;93.2062700773;50.063698268;41.5154959196;89.2181495139;117.547258389;124.14664142;107.880436777;62.2448082809;135.926906647;223.597071107;211.264663696;50.0636978149;117.54725647;211.264663696;50.0636978149;117.54725647
