index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Diourbel+Kaolack+Louga+Matam+Saint-Louis+Ziguinchor;Diourbel+Kaffrine+Kaolack+Louga+Matam+Saint-Louis+Tambacounda+Ziguinchor;Louga+Matam;Kaffrine+Kolda+Sedhiou;Kolda+Sedhiou;Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Kolda+Sedhiou+Ziguinchor+Ziguinchor+Ziguinchor;Louga+Matam+Saint-Louis;Dakar+Kaolack+Louga;Fatick+Kaffrine+Kaolack+Tambacounda;Diourbel+Kaffrine+Louga;Kolda+Sedhiou+Ziguinchor;Kedougou+Louga;Matam+Saint-Louis;Dakar+Fatick+Thies;Kedougou;Matam+Thies;Kaffrine+Matam+Thies
573;17819.0;10.0;1998.0;15.0;301.488128662;301.919494629;301.515686035;301.488128662;302.219818115;301.666259766;300.187957764;303.749176025;303.921600342;301.919494629;303.368255615;302.230407715;301.515686035;302.739959717;302.718688965;303.271179199;302.625610352;300.899627686;301.488128662;301.919494629;301.515686035;30.1959972382;29.9347000122;30.510635376;28.8447570801;28.4543933868;28.0410633087;28.2713356018;30.5353546143;29.9468841553;29.4210033417;30.0309123993;28.2713356018;29.4631118774;30.6997642517;28.8498363495;28.3623886108;30.3843460083;30.1891384125
574;17850.0;11.0;1998.0;15.0;299.945953369;300.982727051;300.340698242;299.945953369;301.439849854;300.341766357;298.98324585;301.191711426;302.091064453;300.982727051;301.84197998;301.711486816;300.340698242;301.793334961;301.30645752;302.627685547;301.396606445;300.047546387;299.945953369;300.982727051;300.340698242;28.4917755127;28.4296703339;28.8217277527;27.600692749;27.0553302765;26.8476409912;27.0150375366;28.6056365967;28.5576229095;28.3501205444;28.7652568817;27.0150375366;28.079492569;28.563035965;28.1037254333;27.1889343262;28.7249355316;28.7035369873
575;17880.0;12.0;1998.0;15.0;297.126708984;297.989990234;298.394683838;297.126708984;299.02822876;297.143371582;297.299926758;297.286010742;298.904785156;297.989990234;298.124847412;299.138458252;298.394683838;299.041931152;298.355102539;298.855102539;298.858947754;298.364471436;297.126708984;297.989990234;298.394683838;25.1408405304;25.3664398193;25.3873138428;24.64320755;23.988494873;24.6011199951;24.3063659668;25.041009903;25.1154098511;25.7815418243;25.3099384308;24.3063659668;25.0832309723;25.0759124756;25.3656578064;25.2435512543;25.5768947601;25.6531505585
576;17911.0;1.0;1999.0;15.0;298.125976562;298.063720703;299.778533936;298.125976562;299.745330811;298.059906006;296.863983154;298.073852539;299.427490234;298.063720703;298.740661621;299.533569336;299.778533936;299.719329834;299.104309082;299.124511719;299.75869751;298.911865234;298.125976562;298.063720703;299.778533936;25.7484664917;26.0662631989;25.9537639618;25.4964065552;24.9334793091;25.3722763062;25.1480808258;25.6687812805;25.7274627686;26.5757961273;25.9030418396;25.1480808258;26.0110931396;25.7097415924;25.5729694366;26.6275596619;26.0126876831;26.1484394073
577;17942.0;2.0;1999.0;15.0;301.378814697;298.495758057;303.311248779;301.378814697;301.90145874;301.717041016;296.643127441;300.149414062;302.648254395;298.495758057;300.588592529;300.989562988;303.311248779;302.451904297;301.833770752;300.523071289;303.236785889;300.90447998;301.378814697;298.495758057;303.311248779;28.0784397125;28.7677879333;28.5297660828;28.7447681427;28.4505176544;27.9893512726;28.2703208923;28.10704422;27.5874633789;29.6091098785;27.9432106018;28.2703208923;28.5426616669;28.4521064758;26.4755382538;30.1593990326;28.6952476501;28.8442974091
578;17970.0;3.0;1999.0;15.0;303.2081604;298.129699707;305.680450439;303.2081604;302.91696167;304.375488281;296.484466553;301.993621826;305.431884766;298.129699707;301.759887695;301.418640137;305.680450439;304.342773438;303.779907227;300.92767334;305.948699951;301.325469971;303.2081604;298.129699707;305.680450439;29.7880859375;30.7885570526;30.5569763184;30.9525318146;30.822265625;29.1099643707;30.1378707886;30.0850315094;28.7054309845;31.8060970306;29.2251548767;30.1378707886;30.2007522583;30.8450088501;26.5096645355;32.5281906128;30.8721294403;30.9522533417
579;18001.0;4.0;1999.0;15.0;303.299285889;300.084838867;305.901306152;303.299285889;303.553466797;304.584289551;298.115478516;303.184295654;305.981262207;300.084838867;302.923370361;302.790344238;305.901306152;304.728424072;304.523284912;302.28527832;306.586151123;302.114990234;303.299285889;300.084838867;305.901306152;30.7164764404;31.5886554718;31.3960170746;31.1952705383;30.9906520844;29.5547294617;30.4680461884;31.021150589;29.786857605;32.477596283;30.1982212067;30.4680461884;30.9826087952;31.6628818512;28.1678447723;32.7487030029;31.6927490234;31.666097641
580;18031.0;5.0;1999.0;15.0;303.300262451;299.781707764;306.996856689;303.300262451;303.197814941;305.184875488;298.298370361;304.956298828;308.000976562;299.781707764;303.500427246;302.257568359;306.996856689;305.272521973;305.390838623;302.265563965;307.671600342;300.95211792;303.300262451;299.781707764;306.996856689;31.7768802643;32.616153717;32.7392730713;31.6412906647;31.3837718964;28.97016716;30.4590435028;32.4847259521;30.1922073364;33.1857948303;30.6975688934;30.4590435028;31.7701721191;33.5824317932;27.7800598145;33.8431968689;33.2659492493;32.9879150391
581;18062.0;6.0;1999.0;15.0;302.771240234;300.69821167;303.711181641;302.771240234;302.602111816;303.429992676;299.784820557;304.520446777;306.711090088;300.69821167;303.170013428;302.036987305;303.711181641;303.988494873;304.155792236;302.16394043;305.383026123;301.514099121;302.771240234;300.69821167;303.711181641;31.1948566437;31.4740810394;31.8996677399;30.3248538971;30.0520515442;28.9896011353;29.6159152985;31.7558498383;29.8510761261;31.4211616516;30.1298065186;29.6159152985;30.2389431;32.6489486694;28.1642093658;30.5578022003;32.4021186829;32.0204772949
582;18092.0;7.0;1999.0;15.0;301.149749756;301.598236084;301.248504639;301.149749756;302.00402832;301.29574585;301.070037842;303.862457275;304.626617432;301.598236084;303.246154785;301.966339111;301.248504639;302.829498291;302.768554688;302.578826904;302.823791504;301.05947876;301.149749756;301.598236084;301.248504639;30.3712062836;30.1099491119;30.8284988403;28.6407012939;28.0953979492;27.9538707733;28.0468254089;30.7975273132;29.8305511475;29.5186271667;29.9021892548;28.0468254089;29.2834510803;31.1589603424;28.6097660065;28.0961704254;30.8927688599;30.5952720642
