index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
1569;48135.0;10.0;2081.0;15.0;310.017150879;312.016906738;310.55480957;310.017150879;311.724151611;310.564575195;307.295227051;317.173553467;316.555664062;312.016906738;315.966583252;311.787322998;310.55480957;313.591796875;313.751983643;313.39730835;313.602355957;309.793579102;310.017150879;312.016906738;310.55480957;38.350402832
1570;48166.0;11.0;2081.0;15.0;310.176086426;313.529815674;311.274536133;310.176086426;312.938964844;310.871673584;310.927581787;315.291137695;315.770935059;313.529815674;314.947662354;313.291473389;311.274536133;314.044281006;313.695159912;314.316680908;314.002227783;309.920166016;310.176086426;313.529815674;311.274536133;40.127822876
1571;48196.0;12.0;2081.0;15.0;310.389678955;311.711547852;311.105255127;310.389678955;312.655609131;310.973175049;309.238098145;313.023162842;313.843322754;311.711547852;313.259063721;312.597442627;311.105255127;313.104370117;312.625946045;313.032318115;313.194000244;310.345214844;310.389678955;311.711547852;311.105255127;38.3470649719
1572;48227.0;1.0;2082.0;15.0;311.248931885;310.893676758;312.179107666;311.248931885;313.311584473;311.747070312;307.002685547;311.300415039;312.814605713;310.893676758;312.304382324;312.675811768;312.179107666;313.549407959;312.396026611;312.902740479;313.240905762;310.839691162;311.248931885;310.893676758;312.179107666;37.4270706177
1573;48258.0;2.0;2082.0;15.0;313.042663574;310.705841064;314.204040527;313.042663574;315.043243408;313.678192139;302.137634277;313.799926758;315.733795166;310.705841064;314.393341064;313.849609375;314.204040527;315.456054688;314.475311279;314.435089111;315.62322998;311.822235107;313.042663574;310.705841064;314.204040527;36.8104705811
1574;48286.0;3.0;2082.0;15.0;317.666320801;316.19140625;317.907440186;317.666320801;319.40045166;317.971801758;307.874847412;319.277770996;320.453430176;316.19140625;318.868591309;318.954833984;317.907440186;319.471313477;318.941619873;318.615020752;319.524414062;317.162597656;317.666320801;316.19140625;317.907440186;42.3429298401
1575;48317.0;4.0;2082.0;15.0;316.31741333;315.186065674;315.911834717;316.31741333;318.355499268;316.796020508;308.002044678;318.46383667;320.348632812;315.186065674;318.602172852;317.753570557;315.911834717;319.190734863;318.108001709;318.503540039;318.858581543;313.50894165;316.31741333;315.186065674;315.911834717;41.3969039917
1576;48347.0;5.0;2082.0;15.0;314.51663208;313.538970947;316.406311035;314.51663208;316.197235107;316.282104492;305.914398193;320.157348633;320.513366699;313.538970947;318.680664062;315.314697266;316.406311035;318.045410156;317.818756104;317.232269287;318.540924072;311.678527832;314.51663208;313.538970947;316.406311035;39.6480026245
1577;48378.0;6.0;2082.0;15.0;313.586517334;311.273529053;314.637512207;313.586517334;315.153167725;315.693023682;307.111785889;318.759002686;320.174987793;311.273529053;316.705108643;313.938934326;314.637512207;317.813598633;316.842559814;315.113708496;318.198608398;311.128936768;313.586517334;311.273529053;314.637512207;37.7643356323
1578;48408.0;7.0;2082.0;15.0;310.661865234;311.477020264;310.037200928;310.661865234;313.363220215;310.925842285;306.257385254;316.548736572;315.878540039;311.477020264;315.152160645;312.799835205;310.037200928;315.093811035;313.508239746;314.535614014;312.999542236;308.972961426;310.661865234;311.477020264;310.037200928;37.8474349976
