index;time;month;year;day;Sédhiou;Thiès;Kédougou;Sédhiou.1;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès.1;Louga;Fatick;Kédougou.1;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1;Dakar+Thies
374;11761.0;3.0;1982.0;15.0;312.613342285;312.552062988;314.006439209;312.613342285;314.030273438;313.94329834;311.537353516;314.489013672;316.985961914;312.552062988;314.199279785;313.864562988;314.006439209;314.986816406;314.689239502;313.505615234;315.618164062;311.373931885;312.613342285;312.552062988;314.006439209;39.3150978088
375;11792.0;4.0;1982.0;15.0;313.930053711;313.0831604;315.363342285;313.930053711;314.82019043;315.570495605;310.225311279;315.873016357;317.212249756;313.0831604;315.251647949;315.137268066;315.363342285;315.762786865;315.706756592;314.479125977;316.670013428;313.029541016;313.930053711;313.0831604;315.363342285;39.7026176453
376;11822.0;5.0;1982.0;15.0;311.556243896;313.426757812;313.406677246;311.556243896;313.255706787;312.66506958;310.342163086;317.897003174;317.750518799;313.426757812;316.859741211;313.768798828;313.406677246;314.743499756;315.075622559;314.827362061;314.61932373;310.488555908;311.556243896;313.426757812;313.406677246;39.9318275452
377;11853.0;6.0;1982.0;15.0;312.234924316;314.083679199;313.258483887;312.234924316;314.97644043;313.031188965;308.580322266;317.549224854;316.879089355;314.083679199;316.113555908;315.850280762;313.258483887;314.841339111;315.009429932;316.098419189;314.559539795;310.199401855;312.234924316;314.083679199;313.258483887;40.5092315674
378;11883.0;7.0;1982.0;15.0;310.300201416;308.811553955;311.270111084;310.300201416;311.211425781;310.705383301;303.240447998;313.377441406;313.433502197;308.811553955;311.208251953;310.756500244;311.270111084;311.485626221;311.648803711;310.79574585;311.91192627;309.245635986;310.300201416;308.811553955;311.270111084;35.1992225647
379;11914.0;8.0;1982.0;15.0;310.452606201;307.35559082;308.162353516;310.452606201;309.723114014;308.91519165;303.018310547;311.864013672;310.367340088;307.35559082;309.667266846;309.055084229;308.162353516;309.841461182;309.592407227;309.203552246;309.120727539;309.434875488;310.452606201;307.35559082;308.162353516;33.8380622864
380;11945.0;9.0;1982.0;15.0;309.745361328;309.458648682;308.537414551;309.745361328;311.534423828;309.162597656;304.867370605;313.291992188;312.229187012;309.458648682;312.133392334;311.577697754;308.537414551;311.234313965;310.868530273;311.686584473;309.816833496;309.915649414;309.745361328;309.458648682;308.537414551;35.9204521179
381;11975.0;10.0;1982.0;15.0;308.803070068;308.73336792;307.878601074;308.803070068;310.512756348;308.967315674;304.539764404;313.284759521;313.693939209;308.73336792;311.837493896;310.479919434;307.878601074;311.351013184;310.967254639;310.644714355;310.520690918;309.759490967;308.803070068;308.73336792;307.878601074;35.2287826538
382;12006.0;11.0;1982.0;15.0;308.394958496;309.292358398;309.221130371;308.394958496;309.830627441;308.639160156;309.250091553;311.627288818;312.285308838;309.292358398;310.861206055;309.812438965;309.221130371;310.42086792;310.48727417;310.240356445;310.739898682;308.779968262;308.394958496;309.292358398;309.221130371;36.1158218384
383;12036.0;12.0;1982.0;15.0;307.193389893;308.810333252;308.394927979;307.193389893;309.211578369;307.54019165;310.653594971;308.27154541;309.637420654;308.810333252;309.021087646;309.172973633;308.394927979;309.485656738;308.872528076;309.153564453;309.363586426;307.712036133;307.193389893;308.810333252;308.394927979;35.8216094971
384;12067.0;1.0;1983.0;15.0;309.936889648;308.824066162;310.981292725;309.936889648;311.575836182;310.168487549;307.73550415;310.171234131;312.096466064;308.824066162;310.821502686;310.645019531;310.981292725;312.075836182;311.02166748;310.695373535;311.816101074;308.809844971;309.936889648;308.824066162;310.981292725;35.6039466858
385;12098.0;2.0;1983.0;15.0;310.754302979;309.346588135;311.717559814;310.754302979;311.82131958;311.347412109;309.16796875;310.504364014;312.49810791;309.346588135;311.013549805;311.465911865;311.717559814;312.22354126;311.610168457;310.985778809;312.549224854;310.702972412;310.754302979;309.346588135;311.717559814;36.2108726501
386;12126.0;3.0;1983.0;15.0;313.072967529;312.821563721;314.452880859;313.072967529;314.419677734;314.389434814;310.526733398;313.768096924;315.757507324;312.821563721;313.850860596;314.290252686;314.452880859;314.712860107;314.55847168;313.475891113;315.706237793;312.698516846;313.072967529;312.821563721;314.452880859;39.457157135
387;12157.0;4.0;1983.0;15.0;312.758972168;310.920684814;313.309295654;312.758972168;313.080474854;313.58026123;310.271911621;312.474060059;315.078186035;310.920684814;312.236602783;313.013366699;313.309295654;313.711883545;313.484405518;312.222442627;314.694732666;312.195800781;312.758972168;310.920684814;313.309295654;37.7507324219
388;12187.0;5.0;1983.0;15.0;312.343139648;312.315063477;313.409820557;312.343139648;314.243041992;313.443511963;309.118041992;315.255859375;316.566589355;312.315063477;314.625762939;314.821411133;313.409820557;314.868896484;314.585754395;313.757720947;315.1277771;311.632995605;312.343139648;312.315063477;313.409820557;38.9201889038
389;12218.0;6.0;1983.0;15.0;311.680419922;311.337249756;312.186340332;311.680419922;314.310760498;312.357635498;305.387512207;315.538787842;316.589569092;311.337249756;313.993408203;314.987548828;312.186340332;314.647979736;314.111816406;313.834350586;314.380554199;311.308959961;311.680419922;311.337249756;312.186340332;37.7580375671
390;12248.0;7.0;1983.0;15.0;309.98135376;310.503692627;311.401062012;309.98135376;311.506134033;310.943023682;304.353790283;315.271850586;314.997894287;310.503692627;313.068603516;311.081268311;311.401062012;312.149810791;312.504058838;311.573577881;312.253509521;308.342712402;309.98135376;310.503692627;311.401062012;36.7924690247
391;12279.0;8.0;1983.0;15.0;309.263977051;307.841644287;308.149810791;309.263977051;311.053619385;309.151519775;303.454284668;311.609649658;311.267303467;307.841644287;310.276672363;310.322937012;308.149810791;310.503326416;310.034759521;309.95880127;309.719207764;309.545715332;309.263977051;307.841644287;308.149810791;34.3248748779
392;12310.0;9.0;1983.0;15.0;311.876403809;310.687561035;312.223052979;311.876403809;310.328399658;311.791320801;306.18371582;312.381591797;311.584503174;310.687561035;311.49395752;311.221740723;312.223052979;310.499542236;311.691680908;310.579101562;312.137176514;312.223114014;311.876403809;310.687561035;312.223052979;37.1248130798
393;12340.0;10.0;1983.0;15.0;310.394622803;311.031555176;311.502288818;310.394622803;310.945617676;310.626739502;312.021057129;313.321166992;313.555450439;311.031555176;312.610656738;310.675750732;311.502288818;311.405700684;312.040100098;311.521575928;312.127349854;309.99710083;310.394622803;311.031555176;311.502288818;37.9268455505
394;12371.0;11.0;1983.0;15.0;310.709899902;310.711791992;310.820068359;310.709899902;310.825195312;310.817138672;311.324920654;311.640136719;311.95022583;310.711791992;311.413269043;310.862823486;310.820068359;311.300994873;311.277618408;310.928497314;311.529327393;309.627746582;310.709899902;310.711791992;310.820068359;37.6058235168
395;12401.0;12.0;1983.0;15.0;307.374237061;306.785186768;309.325531006;307.374237061;308.852600098;307.640197754;305.770019531;307.752624512;309.09967041;306.785186768;308.216674805;308.369171143;309.325531006;309.207885742;308.531707764;308.34375;309.198455811;307.630187988;307.374237061;306.785186768;309.325531006;33.5690383911
396;12432.0;1.0;1984.0;15.0;309.662078857;309.528106689;310.904083252;309.662078857;310.968109131;309.964996338;308.702484131;310.72845459;311.697570801;309.528106689;311.564208984;310.437988281;310.904083252;311.916290283;311.078552246;311.666809082;311.650421143;309.140289307;309.662078857;309.528106689;310.904083252;36.284362793
397;12463.0;2.0;1984.0;15.0;310.728302002;308.269195557;311.456756592;310.728302002;311.539123535;311.110748291;309.937774658;310.387786865;312.624908447;308.269195557;310.675933838;310.753692627;311.456756592;312.145935059;311.383361816;310.702850342;312.318847656;310.11227417;310.728302002;308.269195557;311.456756592;35.2828292847
398;12492.0;3.0;1984.0;15.0;312.990814209;311.957946777;313.231201172;312.990814209;313.405578613;313.678222656;314.257019043;312.345092773;313.620544434;311.957946777;312.709838867;313.392089844;313.231201172;313.907104492;313.26574707;312.584716797;313.920196533;312.528991699;312.990814209;311.957946777;313.231201172;39.0399208069
399;12523.0;4.0;1984.0;15.0;314.621459961;315.468109131;315.507293701;314.621459961;316.008605957;315.36315918;316.84753418;316.258575439;316.884429932;315.468109131;316.091094971;316.738800049;315.507293701;316.220062256;316.106964111;315.853668213;316.46270752;315.000549316;314.621459961;315.468109131;315.507293701;42.4565315247
400;12553.0;5.0;1984.0;15.0;313.472412109;315.912628174;315.5105896;313.472412109;315.170227051;314.70010376;314.896362305;317.002593994;317.776123047;315.912628174;316.241760254;317.154388428;315.5105896;315.749572754;316.062133789;315.686767578;316.353851318;311.479888916;313.472412109;315.912628174;315.5105896;42.7265892029
401;12584.0;6.0;1984.0;15.0;312.588562012;312.210083008;313.108978271;312.588562012;313.74810791;313.462036133;308.442077637;317.809814453;317.191467285;312.210083008;314.877044678;314.528442383;313.108978271;314.302490234;314.863830566;313.400299072;314.950836182;312.095184326;312.588562012;312.210083008;313.108978271;38.7953796387
402;12614.0;7.0;1984.0;15.0;311.311248779;307.463928223;310.515930176;311.311248779;310.455322266;311.230834961;303.019165039;311.958984375;312.813354492;307.463928223;310.603485107;309.636535645;310.515930176;310.997955322;311.101593018;309.580169678;311.405395508;309.976379395;311.311248779;307.463928223;310.515930176;33.9553451538
403;12645.0;8.0;1984.0;15.0;313.279205322;309.626983643;310.836029053;313.279205322;311.342407227;312.007202148;305.039123535;314.728942871;312.416107178;309.626983643;312.739929199;311.852508545;310.836029053;311.399108887;312.079528809;311.01965332;311.314025879;312.980438232;313.279205322;309.626983643;310.836029053;36.1119651794
404;12676.0;9.0;1984.0;15.0;310.288269043;308.890991211;308.480621338;310.288269043;310.673522949;309.801757812;304.642944336;312.358978271;311.313751221;308.890991211;310.794006348;310.21975708;308.480621338;310.551574707;310.384643555;310.079193115;309.882446289;310.149291992;310.288269043;308.890991211;308.480621338;35.3631134033
405;12706.0;10.0;1984.0;15.0;311.392364502;312.276062012;311.488891602;311.392364502;311.79385376;311.751251221;311.029571533;314.887390137;313.921417236;312.276062012;313.595428467;312.044342041;311.488891602;312.046386719;312.876403809;312.201873779;312.966156006;311.057373047;311.392364502;312.276062012;311.488891602;39.0104370117
406;12737.0;11.0;1984.0;15.0;308.390045166;309.165252686;310.233184814;308.390045166;308.719940186;309.04675293;310.731048584;309.079284668;309.704711914;309.165252686;309.430236816;309.024261475;310.233184814;308.948944092;309.463531494;309.286987305;310.038574219;308.577331543;308.390045166;309.165252686;310.233184814;36.1224937439
407;12767.0;12.0;1984.0;15.0;307.8331604;309.110107422;309.377716064;307.8331604;309.505340576;308.422851562;310.199127197;308.820343018;310.181091309;309.110107422;309.457366943;309.55847168;309.377716064;309.580596924;309.482574463;309.592712402;310.223114014;308.209625244;307.8331604;309.110107422;309.377716064;36.0598869324
408;12798.0;1.0;1985.0;15.0;308.401062012;307.951965332;309.814727783;308.401062012;309.717437744;309.024414062;308.084594727;307.758605957;309.46081543;307.951965332;308.527374268;309.302734375;309.814727783;310.090606689;309.193206787;308.982788086;310.016204834;308.795318604;308.401062012;307.951965332;309.814727783;34.8406600952
409;12829.0;2.0;1985.0;15.0;311.895263672;311.845214844;312.020324707;311.895263672;312.727813721;311.860015869;312.507263184;311.923400879;313.230194092;311.845214844;312.324981689;312.838684082;312.020324707;312.854095459;312.464630127;312.258666992;312.793762207;311.927307129;311.895263672;311.845214844;312.020324707;38.7533302307
