index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
38;14410;6;1989;15;130.050930466;93.0431549844;107.8475985;94.7063825496;83.0938566072;95.7525833018;161.692394341;102.622584206;119.393478914;124.240720534;65.6540524797;102.844678887;147.067971502;91.1125398195;139.387027757;130.050933838;161.692398071;124.240722656;130.050933838;161.692398071;124.240722656
39;14775;6;1990;15;201.624902557;117.427615131;206.955398921;42.6745554379;63.8535354408;125.835166762;41.5685410074;90.4399454964;100.068948167;124.166087455;118.865936513;122.567140158;54.707518535;139.646344772;201.394133027;201.624908447;41.5685424805;124.16608429;201.624908447;41.5685424805;124.16608429
40;15140;6;1991;15;102.772810734;141.056983908;145.50566222;61.6259475693;41.4711857789;179.812222025;88.0977637041;102.147029912;107.575643747;116.704965101;248.206766341;137.701508998;131.112043435;174.759691664;123.915262833;102.77281189;88.0977630615;116.704963684;102.77281189;88.0977630615;116.704963684
41;15506;6;1992;15;67.4434873215;53.2876232704;63.0657663616;53.1530050718;81.3905540313;105.143740593;63.472825126;63.3824914653;54.8634864127;122.146757871;58.0449118809;80.0966578604;67.7607249339;79.8976180676;90.248463655;67.4434890747;63.4728240967;122.146759033;67.4434890747;63.4728240967;122.146759033
42;15871;6;1993;15;88.4610769234;58.5573705772;65.7276413993;62.2777222861;105.855739529;72.457855135;65.9972486635;101.66076351;57.2879901522;87.5396139752;52.4367342377;74.6801546665;54.4709938809;51.697070145;99.4845096541;88.4610748291;65.9972457886;87.5396118164;88.4610748291;65.9972457886;87.5396118164
43;16236;6;1994;15;101.92732788;70.7056918511;95.2667043851;43.0845541883;42.3489995453;94.3854260925;59.3018143834;58.446397336;71.6862677476;114.516772253;57.0662205078;83.2966680316;72.7947404884;102.39454026;107.009347986;101.927330017;59.301815033;114.516769409;101.927330017;59.301815033;114.516769409
44;16601;6;1995;15;275.79035219;144.312412211;309.130816886;95.3217914965;153.212846031;102.026893084;79.9580109353;104.390715887;121.018692123;221.969994031;106.776185543;148.64553866;75.649442083;122.446277377;229.193905345;275.790344238;79.9580078125;221.969985962;275.790344238;79.9580078125;221.969985962
45;16967;6;1996;15;60.5782214662;54.0084393885;63.2445977698;78.657387454;42.4842272156;87.5079940796;86.7378378904;79.6974315493;62.8787178051;81.3057498517;74.7584289483;81.2198973914;90.3271316856;110.399036093;92.545628013;60.5782203674;86.7378387451;81.3057479858;60.5782203674;86.7378387451;81.3057479858
46;17332;6;1997;15;82.3426934943;48.2996529981;96.7296123942;52.7402279146;53.6264850404;72.9157390102;62.2273691578;58.294546074;54.4113126422;91.1426332976;53.5534881127;70.5523697895;63.6665431539;73.7037592729;99.6845437288;82.3426971436;62.2273674011;91.1426315308;82.3426971436;62.2273674011;91.1426315308
47;17697;6;1998;15;75.6209048279;87.9377951862;100.111602733;135.358758733;87.4189794014;89.5309035836;155.452667749;156.916548438;123.060502274;110.07268851;96.7785924429;106.908349031;193.736098947;93.5808803446;82.9827357703;75.6209030151;155.452667236;110.072692871;75.6209030151;155.452667236;110.072692871
