index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
27;10392;6;1978;15;121.084124066;60.5901660406;135.530897394;171.22373238;46.7837637848;50.0884237576;125.165343895;68.5809252517;92.4473691564;168.289946552;56.5452707443;92.1232370597;66.3981038658;97.6833565642;206.285265449;121.084121704;125.165344238;168.28994751;121.084121704;125.165344238;168.28994751
28;10757;6;1979;15;113.899500318;56.1030177906;91.6809407995;29.8907445526;38.5827249327;66.1483670411;57.1860898682;53.6585502498;61.3255699236;95.9326277158;61.7028431139;70.7845688194;71.0124596441;70.8729151322;148.956303044;113.899497986;57.186088562;95.9326248169;113.899497986;57.186088562;95.9326248169
29;11123;6;1980;15;119.291523388;71.2125867441;130.653003878;83.9083304077;36.3199151403;73.8469647274;82.2067184749;53.7807171401;79.4914806214;137.731054065;74.8811043894;87.0653366556;81.6659707685;101.598019829;118.194995809;119.291519165;82.2067184448;137.731048584;119.291519165;82.2067184448;137.731048584
30;11488;6;1981;15;88.8706502841;62.7513283836;90.3821376252;60.0944337322;40.7971336801;60.4644750464;60.2675789852;49.1639551832;81.326369407;106.04941779;55.8075429955;69.9003255753;56.5678551011;73.4833760159;140.494752477;88.8706512451;60.267578125;106.049415588;88.8706512451;60.267578125;106.049415588
31;11853;6;1982;15;109.825799673;80.4324467972;106.801721061;51.9219635939;48.2806759001;66.27018523;91.3195297588;69.4871097929;95.1026731308;133.468836035;68.1250718642;84.3320422993;84.0387005595;86.9214917907;127.529858027;109.825805664;91.3195266724;133.468841553;109.825805664;91.3195266724;133.468841553
32;12218;6;1983;15;111.657890728;111.719684377;97.3375357486;26.9157228492;96.0185302757;96.2158621727;51.6864177879;85.4232752252;113.572759019;109.920500632;82.570710504;100.935289361;98.2355460412;104.210221486;216.422803735;111.65789032;51.686416626;109.920501709;111.65789032;51.686416626;109.920501709
33;12584;6;1984;15;65.8325645479;61.6049735559;71.4889478893;15.8014474452;38.0682358185;57.6197885843;44.7545167493;44.3258075383;62.5219121139;107.729519241;59.9911679204;64.7394575301;51.8707075023;79.1009070426;84.0730151762;65.8325653076;44.7545166016;107.729522705;65.8325653076;44.7545166016;107.729522705
34;12949;6;1985;15;98.8321517887;87.2359301197;120.514312913;69.8990852241;77.8348075581;83.6996579694;88.5377441002;79.1193732816;100.587610846;124.025951034;77.3743914198;94.1201471336;86.2007504519;91.8953564427;163.588598979;98.8321533203;88.5377426147;124.025947571;98.8321533203;88.5377426147;124.025947571
35;13314;6;1986;15;160.831949176;94.8538976847;139.255421829;128.903586885;49.8992382983;65.6658253548;93.0494667808;54.2984621457;103.58219713;100.511197669;82.6582448168;87.5855630264;81.0276535787;82.8963121108;207.834579425;160.831954956;93.0494689941;100.511199951;160.831954956;93.0494689941;100.511199951
36;13679;6;1987;15;92.9798167006;81.0901015423;95.9626775315;77.4126031822;59.0911067018;82.759655715;90.4325628262;100.221673776;92.3898213435;99.4071286286;89.1640307088;88.8144887541;81.9111866375;89.2891419939;122.416404885;92.9798202515;90.4325637817;99.4071273804;92.9798202515;90.4325637817;99.4071273804
