index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
46;17332;6;1997;15;131.739560323;153.087023931;115.310413197;96.4293730863;64.4248867373;80.7495302866;94.1259170037;78.0299241627;132.12608067;118.319315261;147.6385248;103.289993145;100.051003888;106.325384246;164.838314892;131.739562988;94.1259155273;118.319313049;131.739562988;94.1259155273;118.319313049
47;17697;6;1998;15;125.881678037;92.8191965929;133.257544267;228.266045975;51.1877494415;74.4190351411;110.920119656;69.5721658739;99.8637537573;111.89571853;90.4772204192;92.5669866048;89.6635555136;98.4455522293;135.789691238;125.88168335;110.920120239;111.895721436;125.88168335;110.920120239;111.895721436
48;18062;6;1999;15;162.844411275;106.860429336;151.321405314;86.1762045746;58.4501173928;86.8482019052;91.8965017078;66.6119297651;118.496835586;138.96280161;87.6330177788;103.915225686;89.7317183128;110.731970923;193.423258565;162.844406128;91.8964996338;138.962799072;162.844406128;91.8964996338;138.962799072
49;18428;6;2000;15;126.919629051;83.4217820975;154.610028935;131.780369458;65.3036688509;85.578666835;113.669422298;69.51273357;100.543436132;129.858822601;100.607423872;105.316417734;102.510492155;125.771363805;142.010841177;126.919631958;113.669418335;129.858825684;126.919631958;113.669418335;129.858825684
50;18793;6;2001;15;94.7310214011;84.4153881332;119.265810502;82.7774055735;59.8086841824;102.281854583;85.1769712672;74.6573186544;86.9538601639;132.024060891;94.8427600248;96.2721474976;99.5328094375;99.8282241301;132.589200151;94.7310180664;85.1769714355;132.02406311;94.7310180664;85.1769714355;132.02406311
51;19158;6;2002;15;122.39461643;99.5711009245;126.22312214;99.1745301547;52.1184789637;98.7586699674;92.7301929946;72.8275737043;97.2405147247;113.892716863;94.0150712465;99.2509491581;74.5899114297;112.307913547;176.083079503;122.394615173;92.7301940918;113.892715454;122.394615173;92.7301940918;113.892715454
52;19523;6;2003;15;117.092351559;75.688268512;116.691814216;52.266629614;52.5123493065;74.3755272701;52.8483156167;51.377562237;69.9585172159;135.493977259;68.991438864;83.4597815102;64.7791728005;94.5234018687;117.946507139;117.092353821;52.8483161926;135.493972778;117.092353821;52.8483161926;135.493972778
53;19889;6;2004;15;132.620401327;95.7150039247;144.249853703;176.409291737;63.6289292718;92.4011832542;161.831896345;79.8448738176;128.324058888;129.811995555;83.6527025106;107.841618554;120.266210399;118.163805324;143.796552669;132.620407104;161.83190918;129.81199646;132.620407104;161.83190918;129.81199646
54;20254;6;2005;15;166.969486205;127.466358404;150.324513393;126.57006593;82.085255056;105.662569562;115.660621022;135.327660345;110.691440016;151.55364626;151.710280918;126.294796354;116.251596863;115.22852351;206.278941192;166.969482422;115.660621643;151.553649902;166.969482422;115.660621643;151.553649902
55;20619;6;2006;15;127.689770512;115.640925459;145.742979759;104.52581211;71.1925549768;85.8583008605;80.16143399;63.8242803606;132.694813068;164.75077784;100.794869769;107.205525256;80.2722722937;118.936603778;167.726888912;127.68976593;80.1614379883;164.750778198;127.68976593;80.1614379883;164.750778198
56;20984;6;2007;15;114.866316978;76.6368779726;120.119802727;136.499889479;103.431474223;178.757680019;104.497103569;112.061338324;83.1834768741;131.211468085;84.5005286599;124.089935483;82.9306336582;137.52681716;111.445843563;114.866317749;104.497108459;131.211471558;114.866317749;104.497108459;131.211471558
57;21350;6;2008;15;116.615946246;78.3086148779;173.576476947;50.9769734771;48.9138874429;99.0743597618;59.7128593607;50.087267987;113.523660641;169.666957718;76.2552622953;103.052942294;58.693493705;126.558679579;135.807215774;116.615943909;59.7128601074;169.66696167;116.615943909;59.7128601074;169.66696167
