index;time;month;year;day;Sédhiou;Kaolack;Kolda;Dakar;Saint-Louis;Matam;Thiès;Louga;Fatick;Kédougou;Kaffrine;SEN;Diourbel;Tambacounda;Ziguinchor;Sédhiou.1;Thiès.1;Kédougou.1;Sédhiou.1.1;Thiès.1.1;Kédougou.1.1
33;12584;6;1984;15;96.2948481261;76.3227803001;130.153778445;72.6181971774;98.3842230245;123.498148654;98.2519971507;107.719122077;88.8605568307;148.478795797;108.840573277;114.858981869;73.1911959052;125.663535809;109.870573513;96.2948455811;98.2519989014;148.478790283;96.2948455811;98.2519989014;148.478790283
34;12949;6;1985;15;179.215661018;89.1746673375;110.066602827;36.3012408565;46.2955407056;102.441577657;52.546999047;63.3345052283;84.6273019729;81.2651879212;99.907815551;86.3400452215;69.490650516;77.3518741999;172.901287655;179.215652466;52.5469970703;81.2651901245;179.215652466;52.5469970703;81.2651901245
35;13314;6;1986;15;215.807311588;195.367606359;162.378984978;120.071386264;72.1276590938;123.948706405;120.421028758;86.0246324681;188.46578656;134.464126473;137.307846122;124.950059867;114.32425067;114.391259661;170.179651381;215.807312012;120.421028137;134.464126587;215.807312012;120.421028137;134.464126587
36;13679;6;1987;15;135.299634246;143.611181215;140.033619342;183.097347251;361.961956853;206.163213816;155.169707898;225.674331398;160.669400778;226.668654389;105.44265497;192.900492801;149.03981517;148.984330215;167.808826517;135.299636841;155.169708252;226.668655396;135.299636841;155.169708252;226.668655396
37;14045;6;1988;15;144.118041242;93.3980454708;107.006823734;101.768764505;49.1714746683;158.082415401;86.6087958151;82.9937115769;88.93658422;139.532241674;102.392943428;116.806506458;67.5508256058;141.323970227;189.962589518;144.118041992;86.608795166;139.532241821;144.118041992;86.608795166;139.532241821
38;14410;6;1989;15;91.1133636477;62.71830402;72.6148139429;35.080796305;37.6783309254;106.161992415;30.1260319495;42.2206838985;51.6728482523;82.2695204486;65.9226318684;74.6718163997;35.2192838374;101.731049811;95.4754369109;91.1133651733;30.1260318756;82.2695236206;91.1133651733;30.1260318756;82.2695236206
39;14775;6;1990;15;159.544857357;59.8146360492;113.1993656;26.6289940156;87.7300605207;162.421743723;47.4909619549;88.6899450957;54.0124036238;88.5893874105;87.3826553639;108.361249876;59.8615045837;123.879806451;130.293658284;159.54486084;47.4909591675;88.5893859863;159.54486084;47.4909591675;88.5893859863
40;15140;6;1991;15;89.2540504353;62.8038250903;118.912904949;126.982807207;65.6961712755;98.0016293382;84.8553876791;103.052769942;81.9203560054;126.290091125;85.8976026995;101.486945031;68.4190255887;118.464454587;142.800482675;89.2540512085;84.8553848267;126.290092468;89.2540512085;84.8553848267;126.290092468
41;15506;6;1992;15;57.2247206886;114.944150801;57.5554121734;71.056045321;26.6865878876;85.1687707404;102.002955046;55.326292362;102.819119894;124.949352223;111.862726704;77.340331154;125.179065447;70.709440727;91.7931807703;57.2247200012;102.002960205;124.94934845;57.2247200012;102.002960205;124.94934845
42;15871;6;1993;15;84.4029499384;83.8731551943;72.416965875;35.5198814899;77.9269697056;154.017917699;65.5105583518;74.1859373458;87.2356795303;83.2934658538;103.575043035;105.378846148;50.1207463815;145.902968051;111.133489945;84.4029464722;65.510559082;83.2934646606;84.4029464722;65.510559082;83.2934646606
43;16236;6;1994;15;106.263456858;71.5324566195;103.131909456;46.2872371383;55.4810602274;57.1214299165;49.1118812284;64.1788494865;54.324474305;151.371706445;72.5633610361;82.6030645112;50.7602362365;104.85491835;72.339893122;106.263458252;49.1118812561;151.371704102;106.263458252;49.1118812561;151.371704102
44;16601;6;1995;15;133.922955976;108.152772775;185.000587997;456.978953542;52.7475663124;110.385984294;277.103530229;74.5078944338;229.021682685;180.106314462;153.022866278;138.213009043;138.312796541;156.718867801;174.672553781;133.922958374;277.103515625;180.106307983;133.922958374;277.103515625;180.106307983
45;16967;6;1996;15;114.945657794;74.8519183224;138.989002309;117.585594466;42.2323129174;92.8002704011;71.0564853864;64.0314286653;105.807349945;142.870383658;86.8604876451;110.933017447;52.4978797627;184.111984145;130.400199858;114.945655823;71.0564880371;142.870376587;114.945655823;71.0564880371;142.870376587
46;17332;6;1997;15;100.376774504;86.0433025106;108.71137812;37.9866709015;87.307549968;73.2499193285;80.4941156757;79.0120122649;80.3442867228;129.53251252;97.8626838173;90.1049612325;95.2520321088;84.2535410071;108.953462829;100.376777649;80.4941177368;129.532516479;100.376777649;80.4941177368;129.532516479
47;17697;6;1998;15;124.488643775;94.2270621451;193.323121059;7.99116263779;21.818342324;56.665813198;18.0706116294;31.8685529791;71.5911067081;123.585338736;82.4577747818;78.1197084108;35.6270329845;89.5739871096;110.596998287;124.488639832;18.0706119537;123.585342407;124.488639832;18.0706119537;123.585342407
48;18062;6;1999;15;162.290748691;87.3425309281;113.114147493;60.2708443702;16.2859865121;44.6848017392;57.6046833836;34.0759271809;63.1678513237;79.1138726314;61.3284792693;63.3777864603;59.6297274951;68.409940434;102.657533504;162.290756226;57.6046829224;79.1138763428;162.290756226;57.6046829224;79.1138763428
